neighbourhood_group,neighbourhood,latitude,longitude,room_type,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,days_since_last_review,dist_from_subway_in_miles,dist_from_airport_in_miles,dist_from_city_center,price
NA,"Shaw, Logan Circle",38.9126,-77.01748,Entire home/apt,402,4.19,1,331,49,36,0.24967273,4.317977663,1.12389266,153
NA,"West End, Foggy Bottom, GWU",38.90308,-77.05063,Entire home/apt,344,3.36,16,106,36,60,0.164931145,3.587796915,0.801749484,280
NA,"Georgetown, Burleith/Hillandale",38.9164,-77.06898,Entire home/apt,12,0.11,4,341,1,123,1.085024093,4.754129557,1.863051663,299
NA,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92042,-77.03977,Private room,72,0.66,1,264,2,221,0.646331152,4.715438609,0.925541933,90
NA,"Georgetown, Burleith/Hillandale",38.91438,-77.06933,Entire home/apt,6,0.06,4,288,1,106,1.18272137,4.631419552,1.838679297,159
NA,"Union Station, Stanton Park, Kingman Park",38.90438,-77.00177,Entire home/apt,248,2.3,1,119,21,53,0.194836663,4.106176793,1.927942249,107
NA,"Georgetown, Burleith/Hillandale",38.91504,-77.07064,Private room,14,0.12,4,359,4,158,1.212752854,4.700607491,1.919987838,139
NA,"Capitol Hill, Lincoln Park",38.88277,-77.00837,Entire home/apt,317,3.05,1,204,38,50,0.237194511,2.653760431,2.295219167,175
NA,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91897,-77.0464,Entire home/apt,21,0.2,1,334,2,73,0.53529534,4.638434271,0.963641441,80
NA,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.9171,-77.00075,Private room,90,0.87,3,337,16,171,0.379391698,4.917799234,2.088653292,56
NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92638,-77.03658,Entire home/apt,0,NA,6,364,0,-1,0.241949575,5.125682848,1.323535329,248
NA,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.899914,-77.03313,Entire home/apt,14,0.13,13,362,0,2070,0.102244457,3.3085761,0.543242491,364
NA,"Capitol Hill, Lincoln Park",38.882431,-76.992867,Entire home/apt,124,1.19,1,14,14,132,0.228799102,3.220450044,2.9497586,111
NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92539,-77.02934,Private room,6,0.12,2,20,0,408,0.2439571,5.077553812,1.321243785,37
NA,"Douglas, Shipley Terrace",38.85045,-76.97992,Private room,6,0.15,4,349,2,67,0.573738923,3.156677948,5.001208959,150
NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92918,-77.04035,Entire home/apt,90,0.85,1,2,26,65,0.435481636,5.320492234,1.528273366,299
