@relation 'nyc_listings - full-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V-weka.filters.unsupervised.attribute.Remove-R6-8'

@attribute host_is_superhost {f,t}
@attribute host_listings_count numeric
@attribute host_total_listings_count numeric
@attribute host_has_profile_pic {t,f}
@attribute host_identity_verified {t,f}
@attribute room_type {'Private room','Entire home/apt','Hotel room','Shared room'}
@attribute accommodates numeric
@attribute bedrooms numeric
@attribute beds numeric
@attribute minimum_nights numeric
@attribute maximum_nights numeric
@attribute has_availability {t,f}
@attribute availability_30 numeric
@attribute availability_60 numeric
@attribute availability_90 numeric
@attribute availability_365 numeric
@attribute number_of_reviews numeric
@attribute number_of_reviews_ltm numeric
@attribute number_of_reviews_l30d numeric
@attribute review_scores_rating numeric
@attribute review_scores_accuracy numeric
@attribute review_scores_cleanliness numeric
@attribute review_scores_checkin numeric
@attribute review_scores_communication numeric
@attribute review_scores_location numeric
@attribute review_scores_value numeric
@attribute instant_bookable {f,t}
@attribute calculated_host_listings_count numeric
@attribute calculated_host_listings_count_entire_homes numeric
@attribute calculated_host_listings_count_private_rooms numeric
@attribute calculated_host_listings_count_shared_rooms numeric
@attribute reviews_per_month numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
f,1,1,t,t,'Entire home/apt',2,1,1,30,180,t,7,37,67,342,58,1,0,4.66,4.82,4.68,4.86,4.98,4.7,4.61,f,1,1,0,0,0.41,0.096526,7.381622,2.659724,250
f,7,7,t,t,'Entire home/apt',9,3,6,30,730,t,26,56,86,361,2,0,0,5,4.5,5,5,5,5,5,f,6,6,0,0,0.02,0.237224,5.342533,6.058517,211
f,2,3,t,f,'Private room',1,1,1,21,180,t,0,0,1,271,29,0,0,4.6,4.64,4.32,4.81,4.77,4.69,4.58,f,2,0,2,0,0.19,0.225478,7.896824,4.706079,55
f,2,2,t,t,'Private room',2,1,1,2,1125,t,7,17,47,134,473,47,1,4.78,4.83,4.77,4.79,4.77,4.73,4.7,f,2,0,2,0,4.29,0.463154,6.797804,2.320043,166
f,1,2,t,t,'Entire home/apt',3,2,2,45,45,t,0,0,0,262,12,0,0,4.9,5,5,5,5,5,4.73,f,1,1,0,0,0.09,0.142741,8.150214,5.052119,225
t,1,2,t,t,'Entire home/apt',2,1,1,1,1125,t,6,36,66,341,237,33,3,4.76,4.88,4.77,4.93,4.93,4.74,4.49,f,1,1,0,0,1.64,0.471739,6.946297,3.524834,564
t,2,4,t,t,'Entire home/apt',3,1,2,3,90,t,1,2,24,95,320,30,3,4.74,4.71,4.7,4.88,4.87,4.89,4.64,f,2,2,0,0,2.34,0.266442,5.646095,2.700092,209
f,2,3,t,t,'Entire home/apt',5,2,2,7,31,t,3,6,18,42,53,23,2,4.72,4.79,4.45,4.89,4.91,4.72,4.64,f,2,2,0,0,0.38,0.044159,7.756235,2.80548,300
f,3,4,t,t,'Private room',1,1,1,1,30,t,10,15,30,30,162,35,3,4.7,4.78,4.44,4.78,4.89,4.9,4.65,f,2,0,2,0,1.32,0.272148,7.19415,2.428257,218
f,1,3,t,t,'Entire home/apt',6,3,3,30,365,t,23,33,51,326,109,3,0,4.38,4.56,4.16,4.53,4.59,4.5,4.22,t,1,1,0,0,0.82,0.084172,8.183082,2.801522,500
f,1,2,t,t,'Entire home/apt',2,1,1,31,90,t,0,0,0,0,38,1,0,4.8,4.91,4.66,4.97,4.94,4.86,4.69,f,1,1,0,0,0.27,0.398974,6.8842,2.27423,195
f,1,3,t,t,'Entire home/apt',3,1,1,30,365,t,0,0,0,0,10,0,0,4.88,4.71,4.29,4.86,5,5,4.71,f,1,1,0,0,0.07,0.022004,7.302289,1.923493,250
f,1,1,t,t,'Entire home/apt',8,4,6,5,365,t,5,5,5,42,254,26,0,4.84,4.89,4.75,4.96,4.93,4.42,4.77,f,1,1,0,0,1.65,0.154429,3.938171,4.001217,300
t,3,5,t,t,'Entire home/apt',2,1,1,30,60,t,0,28,58,86,192,1,1,4.84,4.84,4.95,4.97,4.98,4.6,4.8,f,3,3,0,0,1.39,0.099429,4.211193,3.137178,110
t,3,3,t,t,'Entire home/apt',2,?,1,90,180,t,0,25,55,330,63,2,0,4.63,4.72,4.77,4.57,4.7,4.8,4.63,f,1,1,0,0,0.5,0.254632,6.176955,1.568389,166
