host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,dist_from_subway_in_miles,dist_from_airport_in_miles,dist_from_city_center,price
f,2,5,t,t,Rogers Park,42.01938,-87.67985,Entire home/apt,6,2,2,7,1125,t,12,42,72,347,15,1,0,4.27,4,4.13,4.87,4.67,4.4,4.53,f,2,2,0,0,0.17,0.34925099,12.60046584,10.12410767,149
f,1,2,t,t,Near West Side,41.86967,-87.68284,Private room,2,1,1,1,1125,t,19,49,79,354,112,7,0,4.68,4.83,4.9,4.62,4.73,4.6,4.64,f,1,0,1,0,1.02,0.452776982,6.910632915,2.953821815,103
f,1,5,t,t,Lincoln Park,41.93089,-87.66946,Entire home/apt,16,4,11,2,60,t,12,29,56,316,102,10,1,4.86,4.92,4.75,4.94,4.93,4.83,4.76,f,1,1,0,0,0.94,0.88800315,10.9753633,4.237569135,454
t,1,1,t,t,Logan Square,41.91984,-87.68962,Private room,2,1,1,3,7,t,8,18,37,301,371,44,4,4.97,4.97,4.98,5,5,4.93,4.93,f,1,0,1,0,3.39,0.25254116,9.850716429,4.354609642,86
f,5,12,t,t,Lake View,41.9459,-87.65461,Private room,2,1,1,32,365,t,30,60,90,147,42,0,0,4.43,4.58,4.5,4.93,4.9,4.93,4.23,t,5,0,2,3,0.4,0.099853465,12.25728579,4.870376458,270
f,1,1,t,t,Uptown,41.96909,-87.67407,Entire home/apt,6,3,3,4,28,t,4,16,17,242,26,2,0,4.64,4.77,4.54,5,5,4.73,4.65,f,1,1,0,0,0.23,0.136082859,12.61493605,6.727536838,175
f,1,1,t,f,Uptown,41.97515537,-87.6722681,Entire home/apt,4,2,2,32,120,t,0,0,0,0,0,0,0,,,,,,,,f,1,1,0,0,,0.564911352,12.69846628,7.086892484,114
t,18,21,t,t,West Ridge,42.01653,-87.68788,Shared room,1,1,1,1,900,t,26,56,86,176,172,8,1,4.58,4.69,4.46,4.77,4.79,4.48,4.63,f,17,0,4,13,1.55,0.802669805,12.12954802,10.06432841,27
t,9,82,t,t,Lincoln Park,41.91175,-87.63834,Entire home/apt,5,2,2,4,180,t,7,28,54,144,80,23,2,4.8,4.9,4.77,4.86,4.76,4.96,4.78,t,9,9,0,0,0.73,0.094435368,10.68050451,2.368207802,192
t,9,82,t,t,Lincoln Park,41.91184,-87.63963,Entire home/apt,10,4,4,32,120,t,2,10,40,40,16,0,0,4.4,4.56,4.69,4.81,4.5,4.94,4.44,f,9,9,0,0,0.16,0.093909571,10.64465306,2.389127367,279
