@relation 'dc_listings - full-weka.filters.unsupervised.attribute.Remove-R1-5,10-18,22-30,32-34-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute neighbourhood_cleansed {'Historic Anacostia','Cathedral Heights, McLean Gardens, Glover Park','Edgewood, Bloomingdale, Truxton Circle, Eckington','Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View','River Terrace, Benning, Greenway, Dupont Park','Fairfax Village, Naylor Gardens, Hillcrest, Summit Park','Near Southeast, Navy Yard','Dupont Circle, Connecticut Avenue/K Street','Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill','Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir','Takoma, Brightwood, Manor Park','Friendship Heights, American University Park, Tenleytown','Brightwood Park, Crestwood, Petworth','Colonial Village, Shepherd Park, North Portal Estates','Georgetown, Burleith/Hillandale','Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace','Capitol Hill, Lincoln Park','Ivy City, Arboretum, Trinidad, Carver Langston','Shaw, Logan Circle','Union Station, Stanton Park, Kingman Park','Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street','Howard University, Le Droit Park, Cardozo/Shaw','Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights','North Michigan Park, Michigan Park, University Heights','North Cleveland Park, Forest Hills, Van Ness','Douglas, Shipley Terrace','West End, Foggy Bottom, GWU','Congress Heights, Bellevue, Washington Highlands','Kalorama Heights, Adams Morgan, Lanier Heights','Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point','Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont','Woodridge, Fort Lincoln, Gateway','Mayfair, Hillbrook, Mahaning Heights','Eastland Gardens, Kenilworth','Brookland, Brentwood, Langdon','Capitol View, Marshall Heights, Benning Heights','Hawthorne, Barnaby Woods, Chevy Chase','Woodland/Fort Stanton, Garfield Heights, Knox Hill','Sheridan, Barry Farm, Buena Vista'}
@attribute latitude numeric
@attribute longitude numeric
@attribute room_type {'Private room','Entire home/apt','Hotel room','Shared room'}
@attribute availability_365 numeric
@attribute number_of_reviews numeric
@attribute number_of_reviews_ltm numeric
@attribute calculated_host_listings_count numeric
@attribute reviews_per_month numeric
@attribute days_since_last_review numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.9294,-77.02677,'Private room',108,26,26,1,4.13,89,0.32479,5.365049,1.623164,71
'Dupont Circle, Connecticut Avenue/K Street',38.91039,-77.04637,'Entire home/apt',155,15,15,79,4.13,403,0.165615,4.048192,0.548053,120
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.90411,-77.01351,'Private room',329,232,46,4,2.4,95,0.47378,3.810773,1.257871,80
'Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont',38.86788,-76.95978,'Entire home/apt',167,33,26,1,2.4,50,1.158466,4.27073,4.905845,98
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.90547,-77.0302,'Entire home/apt',0,35,28,1,2.4,117,0.338168,3.703904,0.374627,126
'Kalorama Heights, Adams Morgan, Lanier Heights',38.92606,-77.04319,'Entire home/apt',142,30,29,79,2.4,56,0.493737,5.111537,1.343362,166
'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.91225,-77.00913,'Entire home/apt',216,25,25,1,2.4,40,0.484562,4.41789,1.512495,495
'Georgetown, Burleith/Hillandale',38.91487,-77.07472,'Entire home/apt',75,21,21,3,2.4,66,1.318482,4.754891,2.073148,399
'Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights',38.89448,-76.91382,'Entire home/apt',207,14,14,9,2.4,59,0.361486,6.284694,6.58202,165
'Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir',38.90737,-77.09836,'Entire home/apt',65,35,26,1,2.4,107,1.326779,4.988075,3.257401,1143
'Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir',38.88773,-77.084595,'Entire home/apt',280,25,25,156,2.4,53,0.216233,3.496034,2.862648,310
'Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point',38.87083,-77.01369,'Private room',159,428,44,14,4.54,220,0.438592,1.813601,2.79481,83
'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.91244,-77.01396,'Entire home/apt',228,405,41,6,4.54,55,0.42768,4.349381,1.268442,158
'Union Station, Stanton Park, Kingman Park',38.89308,-76.99338,'Entire home/apt',131,61,54,1,4.54,130,0.599396,3.675908,2.503885,147
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.93054,-77.02044,'Entire home/apt',61,23,23,1,4.54,123,0.502497,5.489096,1.831564,250
'Dupont Circle, Connecticut Avenue/K Street',38.91424,-77.0371,'Entire home/apt',160,486,30,2,5.39,53,0.462951,4.287777,0.485876,141
'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.91619,-77.00279,'Entire home/apt',71,138,19,2,1.54,66,0.495076,4.793611,1.911291,265
'Union Station, Stanton Park, Kingman Park',38.89968,-76.99963,'Entire home/apt',280,115,28,3,1.54,49,0.43314,3.853405,2.042324,438
'Brookland, Brentwood, Langdon',38.92643,-76.99178,'Entire home/apt',118,76,23,1,1.54,36,0.4307,5.676856,2.73481,91
'Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights',38.90691,-76.93213,'Entire home/apt',7,101,29,1,1.54,51,0.187771,6.753317,5.552846,185
'Ivy City, Arboretum, Trinidad, Carver Langston',38.90522,-76.98539,'Entire home/apt',0,85,5,1,1.54,37,0.942788,4.595624,2.733446,175
'North Cleveland Park, Forest Hills, Van Ness',38.94713,-77.07217,'Entire home/apt',196,81,24,1,1.54,65,0.410943,6.80686,3.329457,349
'Capitol Hill, Lincoln Park',38.88795,-76.99289,'Entire home/apt',11,64,16,10,1.54,73,0.28232,3.429064,2.684203,204
'Ivy City, Arboretum, Trinidad, Carver Langston',38.90405,-76.99026,'Entire home/apt',348,38,21,3,1.54,76,0.706866,4.378356,2.481457,200
'Brightwood Park, Crestwood, Petworth',38.95286,-77.03356,'Entire home/apt',38,35,16,1,1.54,86,1.190825,6.955897,3.155509,99
'Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace',38.9337,-77.05768,'Entire home/apt',296,20,17,3,1.54,290,0.076365,5.729144,2.134564,85
'Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point',38.86489,-77.01327,'Entire home/apt',90,20,16,1,1.54,44,0.82996,1.56681,3.176684,214
'Brightwood Park, Crestwood, Petworth',38.95733,-77.0309,'Entire home/apt',147,15,15,1,1.54,-1,1.427728,7.269801,3.473557,103
'Historic Anacostia',38.86136,-76.98906,'Entire home/apt',1,7,7,1,1.54,39,0.352569,2.655767,4.053786,100
'Friendship Heights, American University Park, Tenleytown',38.97197,-77.08979,'Entire home/apt',348,97,11,3,1.54,44,0.888097,8.719671,5.275499,379
'Dupont Circle, Connecticut Avenue/K Street',38.91511,-77.042,'Entire home/apt',337,123,22,4,1.52,-1,0.387137,4.353667,0.609056,284
'Brightwood Park, Crestwood, Petworth',38.94626,-77.02444,'Entire home/apt',319,105,0,1,1.52,-1,0.610612,6.534922,2.774866,420
'North Michigan Park, Michigan Park, University Heights',38.94625,-76.98115,'Entire home/apt',17,102,8,1,1.52,35,0.862912,7.154336,3.998826,74
'North Michigan Park, Michigan Park, University Heights',38.94759,-76.98921,'Entire home/apt',0,99,0,1,1.52,52,0.748978,7.072224,3.762377,79
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.93152,-77.02079,'Entire home/apt',170,79,4,3,1.52,-1,0.43251,5.552758,1.882811,226
'Capitol View, Marshall Heights, Benning Heights',38.88454,-76.92899,'Entire home/apt',44,72,8,1,1.52,45,0.666832,6.056766,5.929102,133
'Congress Heights, Bellevue, Washington Highlands',38.84022,-76.99312,'Private room',260,67,13,2,1.52,87,0.448071,2.500746,5.171397,119
'Ivy City, Arboretum, Trinidad, Carver Langston',38.90301,-76.98189,'Entire home/apt',291,24,17,10,1.52,192,1.152636,4.592178,2.929829,131
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.92054,-77.03276,'Entire home/apt',338,7,7,1,1.52,81,0.370259,4.729604,0.946251,145
'Shaw, Logan Circle',38.91061,-77.02235,'Private room',297,285,64,3,3.12,37,0.199693,4.118314,0.806247,110
'Capitol Hill, Lincoln Park',38.88922,-76.99256,'Entire home/apt',45,184,68,1,3.12,73,0.365526,3.504721,2.657392,138
'Dupont Circle, Connecticut Avenue/K Street',38.91528,-77.03678,'Entire home/apt',175,152,43,2,3.12,180,0.506215,4.359691,0.557556,208
'Capitol Hill, Lincoln Park',38.88502,-77.0027,'Entire home/apt',29,102,55,1,3.12,62,0.129457,2.932585,2.372278,109
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.93234,-77.01947,'Entire home/apt',68,94,47,1,3.12,186,0.410782,5.620206,1.965307,429
'Howard University, Le Droit Park, Cardozo/Shaw',38.91666,-77.02935,'Hotel room',0,99,50,3,3.12,187,0.101077,4.476553,0.76563,0
'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.93464,-77.01895,'Private room',365,50,39,22,3.12,36,0.307582,5.781281,2.118933,129
'Brightwood Park, Crestwood, Petworth',38.95895,-77.02468,'Private room',358,37,37,3,3.12,44,1.231586,7.404859,3.629011,55
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.93106,-77.02232,'Entire home/apt',310,18,18,1,3.12,170,0.444535,5.508858,1.818671,127
'Friendship Heights, American University Park, Tenleytown',38.94733,-77.07699,'Entire home/apt',300,8,8,1,3.12,58,0.173543,6.892986,3.49025,147
'Union Station, Stanton Park, Kingman Park',38.89612,-76.98844,'Private room',315,494,45,2,5.35,130,0.884731,4.005124,2.679751,85
'Dupont Circle, Connecticut Avenue/K Street',38.91374,-77.03842,'Entire home/apt',211,382,16,1,5.35,52,0.389233,4.253333,0.458394,144
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.93286,-77.0421,'Entire home/apt',150,165,77,1,5.35,107,0.612907,5.577324,1.791861,167
'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.91301,-77.01348,'Entire home/apt',214,59,59,1,5.35,177,0.4482,4.394408,1.304392,96
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.93483,-77.03118,'Entire home/apt',268,393,53,1,4.09,-1,0.446952,5.71881,1.930423,123
'West End, Foggy Bottom, GWU',38.90312,-77.05338,'Entire home/apt',301,323,56,5,4.09,39,0.233972,3.617177,0.917688,155
'Ivy City, Arboretum, Trinidad, Carver Langston',38.90105,-76.97884,'Entire home/apt',255,271,41,3,4.09,-1,0.993319,4.597677,3.106302,96
'Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont',38.86982,-76.98084,'Entire home/apt',38,98,58,1,4.09,305,0.827787,3.252023,3.9345,62
'Shaw, Logan Circle',38.90945,-77.02445,'Private room',23,78,39,39,4.09,-1,0.247044,4.018951,0.677868,115
'Union Station, Stanton Park, Kingman Park',38.89634,-76.97313,'Entire home/apt',158,81,48,1,4.09,-1,0.696395,4.58569,3.461882,294
'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.9266,-77.00957,'Entire home/apt',0,15,15,1,4.09,40,0.817091,5.352291,1.972302,85
'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.90834,-77.01523,'Private room',345,85,11,1,0.94,53,0.377755,4.059142,1.151201,120
'Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point',38.87568,-77.00975,'Private room',85,79,9,2,0.94,-1,0.253315,2.200255,2.607811,75
'Howard University, Le Droit Park, Cardozo/Shaw',38.92034,-77.03001,'Entire home/apt',17,51,15,1,0.94,526,0.265539,4.726153,0.977436,138
'Brightwood Park, Crestwood, Petworth',38.94756,-77.02518,'Entire home/apt',284,77,16,2,0.94,168,0.704018,6.620064,2.853274,79
'Dupont Circle, Connecticut Avenue/K Street',38.91859,-77.03758,'Entire home/apt',318,60,2,33,0.94,36,0.545342,4.587814,0.786736,90
'Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir',38.91136,-77.09064,'Private room',154,53,14,14,0.94,52,1.472962,4.959128,2.862647,90
'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.90937,-77.01084,'Entire home/apt',306,37,3,33,0.94,-1,0.444815,4.200179,1.389272,145
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.89596,-77.01075,'Private room',89,12,11,8,0.94,121,0.21651,3.346411,1.588191,226
'Dupont Circle, Connecticut Avenue/K Street',38.90476,-77.04152,'Private room',241,1,1,37,0.94,36,0.143927,3.639185,0.297156,125
'Brightwood Park, Crestwood, Petworth',38.93797,-77.03585,'Entire home/apt',363,3,3,2,0.94,42,0.657509,5.925839,2.123859,225
'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.91429,-77.00724,'Entire home/apt',2,5,5,16,0.94,74,0.548922,4.584685,1.646344,309
'Capitol Hill, Lincoln Park',38.88698,-76.99576,'Entire home/apt',305,1,1,157,0.94,191,0.162659,3.276053,2.588582,87
'Friendship Heights, American University Park, Tenleytown',38.94416,-77.09309,'Entire home/apt',318,1,1,1,0.94,-1,0.78556,6.997769,3.920794,250
'Ivy City, Arboretum, Trinidad, Carver Langston',38.90714,-76.98106,'Private room',309,3,3,6,0.94,131,1.164052,4.840821,2.959523,36
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.928684,-77.02578,'Entire home/apt',149,2,2,1,0.94,381,0.363673,5.321908,1.595256,165
'Ivy City, Arboretum, Trinidad, Carver Langston',38.903271,-76.981682,'Private room',343,1,1,2,0.94,39,1.160324,4.613056,2.939084,99
'Brightwood Park, Crestwood, Petworth',38.95813,-77.03117,'Entire home/apt',349,1,1,3,0.94,87,1.417446,7.324244,3.527268,100
'Shaw, Logan Circle',38.91218,-77.020317,'Private room',270,1,1,4,0.94,388,0.123537,4.246636,0.943668,150
'Woodridge, Fort Lincoln, Gateway',38.93863,-76.96022,'Private room',64,33,0,2,0.94,-1,1.236676,7.246327,4.606468,75
'Takoma, Brightwood, Manor Park',38.99035,-77.00782,'Private room',317,25,0,1,0.94,-1,1.126972,9.669783,5.940758,45
'West End, Foggy Bottom, GWU',38.892709,-77.067767,'Entire home/apt',190,1,1,2,0.94,52,0.280948,3.223525,1.9173,61
'Shaw, Logan Circle',38.91131,-77.02105,'Entire home/apt',284,576,72,1,6.32,249,0.156883,4.179673,0.886627,145
'Dupont Circle, Connecticut Avenue/K Street',38.91137,-77.04363,'Hotel room',356,406,61,156,6.32,58,0.12225,4.101701,0.458275,184
'Union Station, Stanton Park, Kingman Park',38.89891,-76.99857,'Entire home/apt',49,222,91,4,6.32,348,0.475377,3.8383,2.110485,101
'Georgetown, Burleith/Hillandale',38.91022,-77.0628,'Entire home/apt',157,182,32,1,1.9,270,0.933422,4.225218,1.388426,145
'Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont',38.86731,-76.94762,'Entire home/apt',327,80,22,2,1.9,-1,1.195356,4.888075,5.474127,355
'Union Station, Stanton Park, Kingman Park',38.90308,-76.99899,'Entire home/apt',270,63,32,1,1.9,52,0.346035,4.072123,2.029241,199
'Historic Anacostia',38.86312,-76.98324,'Entire home/apt',352,63,27,1,1.9,38,0.643132,2.984703,4.16402,568
'Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point',38.86994,-77.01059,'Private room',156,8,8,15,1.9,-1,0.537796,1.8919,2.924751,276
'Capitol View, Marshall Heights, Benning Heights',38.8885,-76.91813,'Private room',0,184,6,2,2.04,-1,0.341612,6.007382,6.425691,80
'Dupont Circle, Connecticut Avenue/K Street',38.90318,-77.04887,'Entire home/apt',297,89,36,2,2.04,-1,0.186361,3.57392,0.692399,814
'Union Station, Stanton Park, Kingman Park',38.90622,-76.9991,'Entire home/apt',58,92,26,1,2.04,116,0.215179,4.257874,2.004541,115
'Brightwood Park, Crestwood, Petworth',38.94231,-77.02228,'Entire home/apt',0,88,9,1,2.04,45,0.341667,6.277892,2.543492,101
'Near Southeast, Navy Yard',38.87597,-76.99507,'Entire home/apt',344,82,36,37,2.04,38,0.532156,2.79586,3.091684,139
'Union Station, Stanton Park, Kingman Park',38.89585,-76.97602,'Entire home/apt',7,74,41,1,2.04,38,0.632737,4.449543,3.320321,82
'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.91614,-77.0072,'Entire home/apt',338,73,10,1,2.04,407,0.66683,4.705103,1.690653,75
'Dupont Circle, Connecticut Avenue/K Street',38.91325,-77.04338,'Entire home/apt',92,70,26,31,2.04,67,0.251454,4.230087,0.54057,89
'Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont',38.86707,-76.96231,'Private room',352,31,25,4,2.04,87,1.13371,4.12687,4.826545,42
'Capitol Hill, Lincoln Park',38.87826,-76.9844,'Entire home/apt',123,15,15,1,2.04,49,0.215753,3.352213,3.424873,200
'Takoma, Brightwood, Manor Park',38.97768,-77.01673,'Entire home/apt',62,110,23,1,2.04,38,0.134125,8.735986,4.979229,103
'Brookland, Brentwood, Langdon',38.9276,-76.98951,'Entire home/apt',286,276,41,1,3.46,130,0.470406,5.80184,2.879205,83
'Brookland, Brentwood, Langdon',38.92711,-76.98809,'Entire home/apt',142,175,53,1,3.46,163,0.542591,5.805197,2.929079,150
'Shaw, Logan Circle',38.908833,-77.027328,'Entire home/apt',138,53,44,1,3.46,51,0.330777,3.952964,0.519678,165
'Georgetown, Burleith/Hillandale',38.91198,-77.0616,'Entire home/apt',53,356,75,2,3.86,-1,0.977541,4.321579,1.350009,139
'River Terrace, Benning, Greenway, Dupont Park',38.89388,-76.95907,'Private room',360,332,28,3,3.86,79,0.749036,5.067195,4.226139,52
'Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont',38.86809,-76.9836,'Entire home/apt',178,194,53,6,3.86,51,0.717008,3.072099,3.906718,89
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.93393,-77.02541,'Entire home/apt',311,141,45,1,3.86,406,0.263407,5.6837,1.942304,545
'Union Station, Stanton Park, Kingman Park',38.89255,-76.99674,'Entire home/apt',119,144,61,1,3.86,56,0.547869,3.535815,2.35632,112
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.92712,-77.02932,'Entire home/apt',293,372,50,3,3.91,66,0.178588,5.195385,1.431988,192
'Shaw, Logan Circle',38.90744,-77.03171,'Private room',81,333,57,1,3.91,-1,0.433068,3.831621,0.275568,70
'West End, Foggy Bottom, GWU',38.90172,-77.05228,'Entire home/apt',0,261,3,6,3.91,45,0.127015,3.509935,0.89857,198
'Howard University, Le Droit Park, Cardozo/Shaw',38.91502,-77.02522,'Entire home/apt',49,144,59,1,3.91,38,0.182857,4.391553,0.821192,199
'Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights',38.89516,-76.92694,'Entire home/apt',167,42,42,1,3.91,227,0.670705,6.579209,5.886794,86
'Friendship Heights, American University Park, Tenleytown',38.95852,-77.08419,'Entire home/apt',329,57,45,2,3.91,151,0.079558,7.745404,4.338334,132
'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.921526,-77.002009,'Entire home/apt',12,9,9,2,3.91,45,0.323224,5.150269,2.096847,200
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.92921,-77.02745,'Entire home/apt',180,544,63,1,6.01,141,0.286443,5.348236,1.599147,120
'Ivy City, Arboretum, Trinidad, Carver Langston',38.90233,-76.98163,'Private room',150,477,74,3,6.01,41,1.103836,4.565344,2.948521,70
'Capitol Hill, Lincoln Park',38.88736,-76.9825,'Entire home/apt',152,317,83,1,6.01,346,0.290082,3.804918,3.191691,97
'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.91467,-77.01503,'Entire home/apt',139,30,2,3,0.35,428,0.373906,4.481359,1.268544,274
'Near Southeast, Navy Yard',38.87853,-77.00018,'Private room',0,27,0,1,0.35,135,0.2958,2.698057,2.775055,75
'Friendship Heights, American University Park, Tenleytown',38.95082,-77.09776,'Private room',318,25,2,1,0.35,40,0.903054,7.518818,4.411705,60
'North Michigan Park, Michigan Park, University Heights',38.94228,-76.97476,'Entire home/apt',364,24,4,2,0.35,36,0.922793,7.060109,4.08724,79
'Brightwood Park, Crestwood, Petworth',38.93844,-77.02631,'Private room',11,23,9,1,0.35,-1,0.16584,5.987951,2.227434,55
'Shaw, Logan Circle',38.91258,-77.01893,'Private room',71,23,0,5,0.35,43,0.170025,4.290019,1.022198,64
'Near Southeast, Navy Yard',38.87707,-76.9876,'Hotel room',358,21,8,33,0.35,49,0.310552,3.165164,3.339066,25
'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.91671,-77.0098,'Entire home/apt',292,21,5,8,0.35,-1,0.679518,4.696877,1.579096,2499
'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.92217,-77.00045,'Private room',0,20,0,1,0.35,45,0.250885,5.222319,2.190659,20
'Cathedral Heights, McLean Gardens, Glover Park',38.92261,-77.07655,'Private room',365,16,2,4,0.35,38,1.290297,5.283031,2.355139,175
'West End, Foggy Bottom, GWU',38.90256,-77.05336,'Entire home/apt',0,15,0,6,0.35,80,0.207402,3.579336,0.929274,139
'Ivy City, Arboretum, Trinidad, Carver Langston',38.90296,-76.98415,'Entire home/apt',37,15,0,1,0.35,98,1.038818,4.513276,2.811016,189
'Capitol Hill, Lincoln Park',38.88084,-76.99944,'Entire home/apt',365,14,9,156,0.35,45,0.318691,2.836155,2.692566,112
'Ivy City, Arboretum, Trinidad, Carver Langston',38.90284,-76.9838,'Entire home/apt',144,11,5,1,0.35,42,1.058918,4.518545,2.830334,129
'West End, Foggy Bottom, GWU',38.90575,-77.04831,'Private room',257,8,3,10,0.35,201,0.363374,3.744341,0.612951,10000
'Howard University, Le Droit Park, Cardozo/Shaw',38.91513,-77.02823,'Entire home/apt',309,5,4,156,0.35,133,0.135407,4.377918,0.714524,115
'Sheridan, Barry Farm, Buena Vista',38.85927,-76.99549,'Entire home/apt',290,6,5,4,0.35,291,0.255437,2.291025,3.969158,69
'Hawthorne, Barnaby Woods, Chevy Chase',38.96954,-77.073936,'Entire home/apt',256,5,2,4,0.35,138,0.907993,8.327869,4.728167,397
'North Michigan Park, Michigan Park, University Heights',38.93828,-76.99051,'Private room',365,4,4,1,0.35,408,0.409267,6.450928,3.262518,99
'Georgetown, Burleith/Hillandale',38.90603,-77.05625,'Entire home/apt',313,3,3,1,0.35,446,0.484846,3.848896,1.028723,116
'North Michigan Park, Michigan Park, University Heights',38.9498,-76.99114,'Entire home/apt',14,3,3,1,0.35,-1,0.603355,7.178704,3.810781,186
'Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont',38.86774,-76.98299,'Entire home/apt',103,3,3,2,0.35,135,0.734176,3.093787,3.946781,289
'Capitol Hill, Lincoln Park',38.890617,-76.986626,'Entire home/apt',335,1,1,1,0.35,92,0.572533,3.793388,2.899816,198
'Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill',38.95929,-76.99227,'Entire home/apt',362,25,2,3,0.35,-1,0.735184,7.778119,4.302722,83
'Colonial Village, Shepherd Park, North Portal Estates',38.99918,-77.02438,'Private room',343,2,2,1,0.35,196,0.503708,10.173034,6.381214,106
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.89656,-77.00854,'Private room',95,1,1,3,0.35,35,0.102762,3.434974,1.672794,222
'Hawthorne, Barnaby Woods, Chevy Chase',38.98478,-77.0871,'Entire home/apt',365,1,1,5,0.35,183,0.373584,9.521994,5.97776,125
'Georgetown, Burleith/Hillandale',38.89403,-77.07087,'Entire home/apt',89,9,1,1,0.35,-1,0.135042,3.385497,2.016746,200
'Friendship Heights, American University Park, Tenleytown',38.94522,-77.07513,'Entire home/apt',32,77,5,1,1.04,167,0.344849,6.724602,3.31475,148
'Union Station, Stanton Park, Kingman Park',38.89523,-77.00173,'Entire home/apt',171,58,11,5,1.04,230,0.348774,3.534146,2.038797,200
'Union Station, Stanton Park, Kingman Park',38.89855,-76.99194,'Entire home/apt',0,72,0,1,1.04,189,0.822005,4.019149,2.456491,150
'Shaw, Logan Circle',38.90901,-77.0313,'Entire home/apt',341,72,8,1,1.04,178,0.52788,3.941399,0.322006,566
'Capitol Hill, Lincoln Park',38.8792,-76.98784,'Hotel room',348,62,23,33,1.04,151,0.189299,3.237115,3.239376,26
'Union Station, Stanton Park, Kingman Park',38.89703,-77.00186,'Entire home/apt',257,59,10,5,1.04,35,0.298937,3.635743,1.985276,211
'Woodridge, Fort Lincoln, Gateway',38.93009,-76.97027,'Entire home/apt',326,38,9,4,1.04,101,1.304121,6.459825,3.868495,119
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.92635,-77.02293,'Entire home/apt',7,37,14,1,1.04,111,0.52043,5.182686,1.514653,92
'Ivy City, Arboretum, Trinidad, Carver Langston',38.90588,-76.98635,'Entire home/apt',0,20,0,2,1.04,80,0.887173,4.601756,2.680698,200
'Dupont Circle, Connecticut Avenue/K Street',38.91393,-77.04026,'Entire home/apt',365,18,12,156,1.04,390,0.342071,4.268432,0.497345,203
'Brookland, Brentwood, Langdon',38.92455,-76.9841,'Entire home/apt',278,5,5,1,1.04,36,0.671914,5.74976,3.043717,250
'Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights',38.91101,-76.91529,'Entire home/apt',167,17,14,2,1.04,42,0.394888,7.37308,6.450689,100
'Union Station, Stanton Park, Kingman Park',38.9014,-77.00145,'Entire home/apt',219,141,21,1,1.6,51,0.396907,3.906681,1.920999,256
'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.91216,-77.00809,'Private room',146,127,19,1,1.6,132,0.444652,4.431275,1.564814,59
'Takoma, Brightwood, Manor Park',38.95799,-77.01028,'Entire home/apt',128,111,22,1,1.6,208,0.601969,7.449505,3.777845,69
'Ivy City, Arboretum, Trinidad, Carver Langston',38.89962,-76.97918,'Entire home/apt',89,108,9,1,1.6,-1,0.897172,4.513285,3.103548,59
'Brightwood Park, Crestwood, Petworth',38.93958,-77.03517,'Entire home/apt',0,77,0,1,1.6,74,0.637751,6.037606,2.236101,101
'Brightwood Park, Crestwood, Petworth',38.9363,-77.02857,'Entire home/apt',71,39,17,2,1.6,45,0.281906,5.829903,2.055864,135
'Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill',38.95819,-77.00097,'Entire home/apt',357,20,19,3,1.6,41,0.442021,7.574593,4.000603,150
'Capitol Hill, Lincoln Park',38.88919,-76.99465,'Entire home/apt',107,329,61,1,3.73,41,0.322709,3.428521,2.560961,122
'Dupont Circle, Connecticut Avenue/K Street',38.9161,-77.03507,'Entire home/apt',35,47,46,1,3.73,309,0.406191,4.418194,0.621712,174
'Union Station, Stanton Park, Kingman Park',38.89997,-76.99972,'Entire home/apt',154,76,6,3,0.97,90,0.435156,3.867983,2.032707,273
'Capitol Hill, Lincoln Park',38.88236,-76.98688,'Entire home/apt',0,86,17,1,0.97,49,0.104946,3.407839,3.156862,275
'Capitol Hill, Lincoln Park',38.88415,-76.98743,'Entire home/apt',0,79,0,1,0.97,67,0.223495,3.4624,3.066585,80
