@relation 'chicago_listings - cleaned-weka.filters.unsupervised.attribute.Remove-R1-3'

@attribute room_type {'Private room','Entire home/apt','Shared room','Hotel room'}
@attribute number_of_reviews numeric
@attribute reviews_per_month string
@attribute calculated_host_listings_count numeric
@attribute availability_365 numeric
@attribute number_of_reviews_ltm numeric
@attribute days_since_last_review numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
'Entire home/apt',45,0.52,2,52,8,44,12.245059,0.345039,4.615092,398
'Entire home/apt',68,0.78,2,286,5,48,10.429921,0.020232,1.802669,83
'Entire home/apt',366,4.18,2,283,55,52,9.930949,0.339794,5.106429,177
'Entire home/apt',11,0.13,1,0,0,1095,12.153397,0.530106,4.316659,199
'Entire home/apt',27,0.34,22,353,2,218,11.392775,0.509399,5.146305,245
'Entire home/apt',44,0.51,22,361,7,67,11.362523,0.547189,5.150721,287
'Entire home/apt',45,0.53,22,353,6,87,11.362523,0.547189,5.150721,290
'Private room',122,1.4,4,322,2,126,7.57889,0.229029,6.583419,85
'Private room',147,1.67,2,287,0,949,13.522497,0.12037,6.546618,65
'Entire home/apt',118,1.35,1,154,24,44,7.560595,0.341615,1.775551,197
'Private room',3,0.04,4,365,0,1093,7.913806,0.318419,4.27755,118
'Entire home/apt',236,2.7,5,217,9,45,9.905374,0.257875,3.187836,210
'Entire home/apt',230,2.63,5,180,10,48,8.487155,0.697979,2.752549,204
'Private room',30,0.34,2,0,0,1094,7.175121,0.405974,6.459046,40
'Private room',58,0.66,2,0,0,1101,7.085062,0.525945,6.373112,63
'Private room',11,0.13,4,361,0,1234,7.827455,0.241464,4.194788,113
'Entire home/apt',43,0.53,22,353,11,52,11.626301,0.253581,5.189618,254
'Private room',315,5.38,1,113,67,38,13.306233,0.16849,7.004187,149
'Private room',18,0.2,1,0,3,142,10.023385,0.508577,6.060859,52
'Entire home/apt',38,0.45,22,333,7,73,11.626301,0.253581,5.189618,319
'Entire home/apt',0,NA,1,0,0,-1,9.41079,0.06484,3.416919,200
'Entire home/apt',36,0.47,22,344,12,38,11.105423,0.756382,5.002023,239
'Entire home/apt',44,0.54,22,349,13,59,11.105423,0.756382,5.002023,281
'Entire home/apt',66,0.82,22,357,13,59,11.248786,0.203987,3.585105,277
'Private room',60,0.69,18,362,10,100,8.480055,1.062807,8.180008,139
'Entire home/apt',46,0.54,22,355,10,54,11.248786,0.203987,3.585105,265
'Entire home/apt',67,0.85,22,331,11,52,11.248786,0.203987,3.585105,356
'Entire home/apt',193,2.25,2,269,29,37,9.142022,0.269817,2.852675,149
'Private room',480,5.85,10,353,39,59,7.090657,0.170407,4.370285,121
'Private room',10,0.11,4,263,0,1038,10.009598,0.703366,6.723836,35
'Entire home/apt',92,1.07,10,160,39,38,9.31864,0.431362,8.211204,126
'Entire home/apt',589,9.37,2,28,79,43,9.240117,0.213275,2.502746,100
'Entire home/apt',115,1.31,1,275,5,69,10.369047,0.073934,1.774017,135
'Entire home/apt',77,0.91,1,349,0,1034,9.598744,0.276295,4.62515,186
'Private room',242,2.88,2,37,26,52,8.433605,0.652573,3.649346,81
'Private room',28,0.32,1,132,0,1130,8.765975,0.60246,2.382579,110
'Private room',61,0.72,1,171,3,60,6.952749,1.354431,9.589374,69
'Private room',395,4.51,1,298,48,43,11.722499,0.101892,4.16347,83
'Hotel room',43,0.49,11,193,5,296,12.893923,0.422422,6.785005,313
'Entire home/apt',180,2.05,1,342,21,67,8.987004,0.273578,1.900922,357
'Entire home/apt',39,0.45,1,174,6,44,1.906224,0.945255,7.877549,112
'Private room',16,0.2,3,252,3,52,6.492176,1.371887,10.05036,125
'Private room',14,0.16,4,0,1,342,10.255098,0.310153,2.062472,195
'Entire home/apt',222,2.97,1,315,66,36,9.961903,0.097638,4.836021,127
'Private room',81,1.65,1,63,4,79,8.8914,0.650651,3.612262,43
'Entire home/apt',85,0.97,3,257,27,37,7.943201,0.400549,3.996498,156
'Entire home/apt',225,2.83,1,323,34,39,8.650545,0.535265,2.418426,83
'Private room',128,1.47,1,345,25,38,12.793522,0.370812,9.006959,65
'Entire home/apt',88,1.21,7,236,2,320,10.978328,0.573123,6.365315,104
'Hotel room',33,0.38,11,0,1,395,12.905355,0.431075,6.782069,408
'Entire home/apt',165,1.95,3,61,34,45,12.668013,0.45583,5.797369,140
'Entire home/apt',2,0.03,3,264,0,1451,8.188953,0.41959,2.887378,429
'Entire home/apt',95,1.11,1,333,23,44,10.426124,0.575927,5.168297,231
'Entire home/apt',326,3.9,1,0,53,52,9.63084,0.284872,4.544176,115
'Entire home/apt',301,3.52,1,322,44,52,9.576619,0.270786,2.608472,162
'Entire home/apt',5,0.06,1,0,0,1557,13.373655,0.082807,8.188884,90
'Entire home/apt',128,1.48,1,169,13,59,9.706753,0.216218,6.060176,204
'Entire home/apt',102,1.18,2,325,24,52,11.985433,0.203511,4.810546,314
'Private room',63,0.73,2,348,17,43,8.270082,0.512642,9.090789,85
'Private room',33,0.38,2,1,4,111,8.376661,0.441288,8.989467,69
'Entire home/apt',351,4.11,1,267,46,41,11.674798,0.484338,6.562801,100
'Private room',30,0.35,1,195,10,56,11.035047,0.541332,3.930286,64
'Entire home/apt',367,4.29,4,291,2,50,11.959738,0.057236,4.457621,134
'Private room',3,0.04,11,0,0,1791,12.934075,0.419279,6.726525,299
'Entire home/apt',40,3.06,1,70,37,44,12.743056,0.344283,5.976993,182
'Private room',3,0.04,11,0,0,2318,12.929456,0.411227,6.721499,119
'Entire home/apt',16,0.19,2,225,0,1150,11.726833,0.161712,7.039682,115
'Entire home/apt',179,2.08,1,32,33,37,12.990346,0.41047,8.104953,131
'Private room',20,0.24,18,195,0,1522,8.605625,1.055052,8.037243,231
'Entire home/apt',3,0.74,1,141,3,39,7.892599,0.332754,2.188541,120
'Entire home/apt',270,3.63,8,154,10,59,12.348134,0.296257,5.136057,317
'Entire home/apt',324,3.82,1,1,25,87,12.828754,0.333134,8.328818,430
'Private room',67,0.78,1,176,13,49,8.922012,0.681375,3.734477,91
'Private room',10,0.12,4,264,2,67,10.010618,0.676343,6.713748,35
'Entire home/apt',6,0.08,11,0,0,1634,12.945355,0.477893,6.793031,359
'Entire home/apt',232,2.7,1,0,18,51,6.745462,1.083734,10.246286,68
'Entire home/apt',13,0.15,1,0,1,71,9.558696,0.261362,3.193339,499
'Entire home/apt',162,1.9,5,331,2,44,8.950593,0.154598,1.339965,818
'Private room',254,2.96,1,154,27,55,7.724052,0.395331,2.114058,95
'Entire home/apt',94,1.11,2,0,0,976,13.529245,0.119998,6.540414,149
'Entire home/apt',453,5.81,4,217,62,53,8.629203,0.69611,3.136987,97
'Private room',80,0.95,3,161,0,1046,9.557505,0.409144,7.901631,56
'Shared room',60,0.7,3,355,0,1090,9.567385,0.310456,7.833793,50
'Entire home/apt',25,0.29,10,20,2,80,9.265431,0.19068,2.876415,515
'Entire home/apt',144,1.72,1,33,9,45,4.375615,0.685075,9.949595,136
'Shared room',7,0.09,3,362,0,1539,13.03197,0.166262,9.18066,63
'Entire home/apt',152,1.98,6,279,30,42,12.367449,0.105703,4.879164,88
'Entire home/apt',105,1.23,1,350,7,80,5.60034,0.596009,3.666217,165
'Entire home/apt',3,0.04,1,0,0,1256,12.464116,0.171665,5.120302,125
'Entire home/apt',261,3.04,1,144,33,51,9.205919,0.115869,1.979891,473
'Private room',114,1.33,2,155,11,51,8.672626,0.979612,4.013459,71
'Entire home/apt',214,2.61,1,259,24,38,7.839051,0.288619,3.758415,113
'Entire home/apt',8,0.24,1,179,3,113,10.214896,0.057895,1.240869,78
'Entire home/apt',181,2.13,4,357,16,80,12.287273,0.25021,4.730008,320
'Entire home/apt',133,1.56,1,256,6,339,8.876923,0.478773,2.725317,184
'Private room',18,0.54,3,79,4,102,7.462694,0.473297,7.492455,60
'Private room',34,1.03,3,87,16,110,7.466716,0.477483,7.492287,83
'Entire home/apt',170,1.99,1,134,11,49,5.799215,0.477008,4.253247,237
'Private room',175,2.1,2,54,35,52,12.058695,0.246654,6.640616,65
'Private room',155,1.81,2,156,36,37,8.663192,0.986557,3.991011,71
'Entire home/apt',190,2.41,3,79,19,59,10.774208,0.905866,5.15727,199
'Entire home/apt',30,0.35,2,0,7,79,12.783113,0.472298,6.944471,71
'Entire home/apt',120,1.41,1,11,18,44,12.115268,0.194939,4.574718,399
'Private room',109,1.41,2,354,17,37,9.971522,0.523277,1.782248,122
'Shared room',4,0.05,3,180,0,1492,12.894825,0.221503,9.25499,69
'Private room',100,1.19,3,60,16,38,12.672505,0.457597,5.80189,144
'Entire home/apt',13,0.18,1,352,3,55,10.258417,0.122418,1.24407,179
'Private room',139,1.67,2,290,2,74,7.609443,0.298573,5.048319,44
'Private room',100,1.2,2,318,0,806,7.609437,0.279929,5.027276,46
'Entire home/apt',4,0.12,68,340,1,172,10.499124,0.339672,1.418581,204
'Entire home/apt',18,0.21,10,0,0,1263,9.31864,0.431362,8.211204,175
'Entire home/apt',117,1.41,1,333,29,64,11.703213,0.304263,3.984892,137
'Entire home/apt',2,0.03,1,0,0,2249,12.208224,0.404025,4.482623,200
'Private room',108,1.28,3,64,19,42,12.667373,0.448717,5.80303,144
'Private room',17,0.2,1,0,0,1218,13.611836,0.422073,9.077487,60
'Entire home/apt',25,0.3,1,0,0,976,10.498074,0.321455,5.549573,86
'Entire home/apt',149,2.94,1,320,39,58,9.300964,0.119874,1.46394,412
'Entire home/apt',2,0.02,68,365,0,2270,10.035703,0.192528,1.224208,150
'Entire home/apt',6,0.11,68,348,0,521,10.57655,0.36503,1.532251,155
'Private room',55,0.72,3,363,1,191,9.706811,0.311374,4.963695,76
'Private room',308,3.65,12,352,10,143,7.578765,0.164266,1.693156,78
'Private room',138,1.74,1,347,17,59,7.202516,0.510761,2.043216,93
'Entire home/apt',646,7.81,1,106,93,44,7.61803,0.268216,1.953045,130
'Private room',61,0.72,1,250,9,63,9.214834,0.360187,2.233089,91
'Entire home/apt',270,3.2,4,326,29,80,8.871447,0.543649,2.25018,79
'Entire home/apt',43,0.51,1,71,5,332,12.011275,0.120923,4.911097,249
'Private room',199,2.36,2,139,44,38,11.746084,0.926331,8.797085,91
'Entire home/apt',17,0.21,18,360,1,220,8.541068,1.022739,8.120658,256
'Entire home/apt',1,0.01,1,0,0,2551,10.793509,0.305939,2.257162,99
'Private room',324,3.84,1,348,28,52,8.461008,0.614813,3.542958,214
'Private room',242,2.87,12,365,21,136,7.194154,0.52332,2.063695,72
'Private room',537,6.37,1,34,48,45,8.463957,0.459463,6.70828,83
'Entire home/apt',291,3.61,2,327,34,37,7.940871,0.15247,1.858899,235
'Entire home/apt',31,0.37,2,41,0,821,10.29162,0.164261,2.342811,189
'Private room',64,0.89,1,256,0,956,12.066318,0.675442,4.110208,72
'Entire home/apt',97,1.18,1,194,12,43,5.837961,0.522343,11.575731,107
'Private room',28,0.46,1,354,0,444,6.585375,0.784704,3.80976,50
'Entire home/apt',70,1.1,1,247,11,106,11.757814,0.532962,6.489362,126
'Private room',166,1.98,1,345,17,52,12.151785,0.347217,4.455556,129
'Private room',82,0.99,2,197,5,106,1.2545,1.426071,8.420043,48
'Private room',254,3.34,3,36,39,55,6.316314,0.088819,2.969813,70
'Entire home/apt',0,NA,1,0,0,-1,12.567507,0.773637,7.42478,129
'Entire home/apt',285,3.43,1,329,48,38,9.462568,0.143773,3.267393,565
'Entire home/apt',199,2.76,1,356,0,717,6.672161,0.104915,2.639034,97
'Entire home/apt',362,4.42,8,155,37,63,12.348737,0.289908,5.132238,286
'Entire home/apt',146,1.78,1,95,27,44,7.928029,0.321928,8.87426,149
'Entire home/apt',31,0.38,1,0,0,1206,13.021896,0.331013,5.494702,90
'Entire home/apt',128,1.69,1,221,24,43,9.49149,0.584688,5.063737,124
'Private room',194,2.34,3,70,32,66,8.951075,0.668326,3.756215,100
'Entire home/apt',70,0.96,1,0,0,1074,7.209381,0.142362,4.055942,105
'Entire home/apt',106,1.37,1,209,16,72,11.841788,0.365506,4.088111,326
'Entire home/apt',275,3.31,8,160,45,39,12.347556,0.294233,5.134239,278
'Entire home/apt',92,1.2,1,26,12,176,11.998316,0.44574,5.772504,135
'Private room',488,5.87,1,0,0,583,6.327746,0.060294,2.966348,39
'Private room',87,1.05,1,105,0,773,10.871207,1.190364,8.44265,60
'Entire home/apt',157,1.89,1,152,8,80,10.668584,0.253672,5.911112,168
'Entire home/apt',50,0.63,1,162,8,79,8.599693,0.58482,4.631345,304
'Entire home/apt',33,0.4,1,172,11,86,9.307705,0.205223,3.520409,120
'Entire home/apt',4,0.05,7,348,0,2201,10.074391,0.167037,1.306436,155
'Entire home/apt',2,0.02,31,365,0,2430,10.074086,0.133096,1.358495,175
'Entire home/apt',105,1.35,2,0,0,1298,9.388297,0.644209,7.348094,63
'Private room',8,0.1,11,353,0,662,12.933081,0.463531,6.789662,999
'Entire home/apt',55,0.71,3,0,0,948,8.297176,0.25888,2.060425,150
'Entire home/apt',48,1.35,1,25,26,37,11.431,0.347902,4.750771,149
'Entire home/apt',93,1.14,1,342,6,45,9.667186,0.535969,5.497305,125
'Entire home/apt',84,1.03,1,174,15,44,13.389234,0.243226,9.016968,180
'Private room',11,0.13,4,123,0,1535,10.067281,0.572397,6.634118,35
'Private room',408,4.96,10,293,27,109,7.090657,0.170407,4.370285,97
'Private room',72,0.94,2,105,4,81,1.2545,1.426071,8.420043,37
'Private room',269,3.42,1,225,0,949,7.786195,0.388235,1.600758,35
'Entire home/apt',374,4.57,2,304,64,52,7.53449,0.385792,2.947271,198
'Entire home/apt',140,1.81,1,62,28,45,5.905833,0.307969,3.825105,432
'Entire home/apt',181,2.22,1,0,2,299,7.109357,0.289961,5.361995,89
'Entire home/apt',2,0.02,31,330,0,1787,8.506013,0.222762,1.695728,125
'Entire home/apt',3,0.06,7,348,0,1084,10.562374,0.379231,1.488647,120
'Private room',36,0.44,9,243,2,143,7.460396,0.406716,3.183396,55
'Entire home/apt',0,NA,31,342,0,-1,10.061168,0.180729,1.252604,120
'Entire home/apt',122,1.55,1,71,34,39,11.093186,0.729703,6.364671,225
'Private room',35,0.43,9,236,4,111,7.454488,0.375943,3.146829,54
'Private room',781,9.56,7,286,77,37,9.840795,0.124776,0.897985,121
'Private room',70,0.96,12,166,0,786,7.947137,0.238639,6.603018,58
'Private room',74,1.01,12,275,2,282,7.988713,0.067439,6.774688,76
'Private room',91,1.24,12,166,0,655,7.956566,0.088856,6.755174,57
'Entire home/apt',41,0.5,1,131,8,72,13.41094,0.09766,6.990757,920
'Private room',300,3.67,10,353,30,49,7.090657,0.170407,4.370285,76
'Private room',56,0.77,12,357,3,53,8.017345,0.107705,6.741215,67
'Private room',67,0.92,12,44,2,76,7.905677,0.133105,6.726318,83
'Entire home/apt',252,3.19,1,232,37,45,10.048196,0.644575,7.596418,69
'Entire home/apt',210,2.63,1,12,4,325,8.425597,0.431015,6.834217,111
'Entire home/apt',265,3.27,1,275,59,45,13.226261,0.283909,8.381868,82
'Entire home/apt',27,0.33,1,365,0,2297,12.565682,0.368433,5.742337,125
'Entire home/apt',109,1.36,2,319,8,66,9.55713,0.06457,3.488882,138
'Private room',398,4.89,10,361,26,51,7.090657,0.170407,4.370285,82
'Private room',4,0.05,1,0,0,1521,6.828934,0.469506,3.039231,59
'Entire home/apt',54,0.69,1,0,0,795,8.515751,0.658392,4.592564,225
'Private room',8,0.1,1,0,0,1100,9.909014,0.436437,5.823354,46
'Private room',88,1.11,2,143,34,39,11.599798,1.0582,8.841895,73
'Entire home/apt',237,3.01,4,327,42,43,8.808576,0.621973,2.355781,75
'Entire home/apt',224,2.89,4,268,33,69,8.944762,0.536218,2.311278,89
'Entire home/apt',1,0.01,68,365,0,2177,10.1356,0.169999,1.335323,145
'Entire home/apt',0,NA,68,365,0,-1,10.345309,0.564849,1.128778,150
'Entire home/apt',4,0.06,68,365,0,1813,9.818338,0.060819,1.221846,250
'Entire home/apt',2,1.09,11,340,2,52,10.481688,0.30583,1.417964,210
'Entire home/apt',51,0.64,1,0,0,1495,11.820079,0.737814,3.774253,80
'Entire home/apt',301,3.96,1,105,30,44,10.287391,0.440492,6.66894,169
'Private room',29,0.36,2,1,0,1404,8.072785,0.67937,5.441954,46
'Private room',91,1.16,1,317,11,63,8.672604,0.483745,2.317891,65
'Private room',99,1.82,1,246,13,65,9.124303,0.166767,0.993084,100
'Entire home/apt',99,1.25,1,365,0,1828,11.736585,0.709416,7.542533,64
'Entire home/apt',95,1.2,1,294,29,50,6.364675,0.072275,2.933807,125
'Shared room',151,1.9,5,109,12,68,12.257286,0.099853,4.870376,82
'Entire home/apt',56,1.04,1,165,23,52,3.641909,0.105993,10.407108,145
'Private room',281,3.58,1,316,54,44,11.214216,0.167881,3.569738,115
'Entire home/apt',19,3.63,1,238,19,40,10.512732,0.741607,8.294537,76
'Entire home/apt',1,0.03,1,0,0,1142,10.338811,0.662997,4.444374,165
'Entire home/apt',127,1.95,2,329,22,44,9.035372,0.200099,7.271508,136
'Entire home/apt',107,1.39,2,327,21,43,9.043991,0.274383,7.414982,133
'Private room',28,0.35,3,0,2,387,6.50187,0.222719,2.784899,250
'Entire home/apt',209,2.62,3,42,0,1087,6.50187,0.222719,2.784899,300
'Entire home/apt',227,2.87,1,19,11,79,6.34508,0.12778,2.934183,77
'Entire home/apt',57,0.73,1,345,7,72,12.368822,0.047041,4.919196,443
'Entire home/apt',35,0.45,1,222,0,437,8.219738,0.63715,4.383721,78
'Entire home/apt',266,3.34,7,334,42,53,7.374341,0.146219,4.356106,92
'Entire home/apt',1,0.01,11,348,0,2347,10.578158,0.693764,1.372464,218
'Entire home/apt',83,1.06,1,0,0,1093,11.654026,0.089341,5.001887,150
'Private room',413,5.19,10,359,20,52,7.090657,0.170407,4.370285,90
'Entire home/apt',12,0.24,2,207,4,86,12.035786,0.691452,7.379669,325
'Entire home/apt',30,0.39,2,0,0,1567,10.038675,0.374396,4.149897,100
'Entire home/apt',30,0.46,5,232,4,73,13.44272,0.073766,8.627474,175
'Private room',91,1.34,5,22,7,106,13.428411,0.053652,8.642718,200
'Entire home/apt',22,0.29,5,300,6,51,13.332545,0.12488,8.576217,205
'Entire home/apt',38,0.6,1,361,3,51,8.274447,0.664991,3.113163,1500
'Entire home/apt',158,2.05,1,270,33,51,12.428602,0.06045,4.993397,286
'Entire home/apt',218,2.75,1,86,36,51,10.682117,0.282728,6.588348,87
'Entire home/apt',52,0.67,2,363,2,80,8.464523,0.604414,4.7138,485
'Private room',51,0.67,1,349,5,72,12.127682,0.239983,4.52617,175
'Entire home/apt',141,1.79,5,209,34,44,9.331241,0.207322,0.611335,775
'Private room',30,0.4,9,348,2,85,7.454488,0.375943,3.146829,55
'Entire home/apt',333,4.24,2,127,62,45,7.319214,0.544223,1.916519,189
'Entire home/apt',1,0.01,68,365,0,2194,10.073692,0.398534,0.847383,170
'Entire home/apt',1,0.02,68,365,0,1628,10.158942,0.432073,0.928926,160
'Private room',292,3.72,1,272,37,44,7.517299,0.458845,1.894399,62
'Entire home/apt',27,0.35,1,0,0,1095,12.771081,0.672626,7.345696,175
'Entire home/apt',255,3.25,1,227,27,50,4.458483,0.912358,5.071697,60
'Entire home/apt',7,0.09,1,0,0,2012,9.566912,0.607608,5.352522,74
'Entire home/apt',42,0.56,2,1,0,1186,8.090339,0.724366,5.55191,173
'Entire home/apt',124,1.68,1,133,19,38,6.996482,1.593553,9.726519,121
'Entire home/apt',268,3.43,1,158,26,44,9.053753,0.340384,2.13872,311
'Entire home/apt',338,4.37,4,308,16,37,12.279264,0.088575,5.703028,491
'Entire home/apt',27,0.34,1,0,2,325,7.299193,0.214116,7.949286,139
'Entire home/apt',354,4.51,2,113,49,38,10.90818,0.547422,2.844166,145
'Entire home/apt',233,3.15,2,336,22,57,9.595407,0.605604,5.653486,79
'Entire home/apt',115,1.47,1,354,6,39,10.775823,0.554218,7.016653,199
'Entire home/apt',29,0.56,22,359,13,72,11.691754,0.421767,5.504107,263
'Entire home/apt',138,1.8,1,309,35,36,12.467982,0.53721,5.487116,160
'Entire home/apt',87,1.13,2,78,21,58,12.47416,0.357208,5.652948,332
'Entire home/apt',0,NA,11,318,0,-1,10.505789,0.665439,1.291884,220
'Entire home/apt',155,2.36,2,334,24,38,11.630788,0.300838,5.306688,111
'Entire home/apt',74,0.97,1,175,0,907,9.040345,0.155557,7.931424,390
'Entire home/apt',0,NA,1,365,0,-1,9.416139,0.270823,3.892045,555
'Entire home/apt',24,0.32,3,54,2,104,8.470324,0.582115,5.917788,398
'Private room',185,2.41,6,165,21,52,7.837002,0.268376,1.997277,67
'Entire home/apt',1,0.02,2,0,0,1975,6.586974,0.809439,3.415245,160
'Private room',122,1.56,3,242,18,41,7.288953,0.158534,3.616509,39
'Private room',43,0.69,1,323,26,38,7.472685,0.188502,4.092707,46
'Entire home/apt',211,2.72,1,278,55,47,11.994497,0.370592,4.258389,149
'Private room',32,0.42,9,355,3,80,7.454488,0.375943,3.146829,65
'Private room',39,0.5,9,364,2,351,7.454488,0.375943,3.146829,55
'Private room',293,3.75,2,36,51,42,10.478005,0.320457,1.400929,99
'Private room',196,2.51,1,0,0,969,8.595685,0.478676,5.619278,40
'Entire home/apt',6,0.08,14,365,0,1930,9.986013,0.180272,1.083042,980
'Entire home/apt',163,2.14,2,34,71,38,10.525123,0.417421,1.406574,262
'Entire home/apt',74,0.96,1,79,12,52,10.407707,0.674869,7.213642,278
'Private room',202,2.62,6,163,27,39,7.788536,0.365801,2.107257,63
'Entire home/apt',53,0.69,2,15,9,49,8.922969,0.495766,2.908495,195
'Entire home/apt',22,0.29,1,0,0,1544,9.003397,0.297993,1.011819,116
'Private room',117,1.54,1,162,11,37,13.618637,0.169844,6.725322,64
'Entire home/apt',0,NA,1,311,0,-1,9.292191,0.173906,2.875511,250
'Entire home/apt',0,NA,31,348,0,-1,9.706167,0.075472,0.835447,160
'Entire home/apt',81,1.09,1,105,17,44,7.187078,0.175183,4.613101,134
'Entire home/apt',1,0.01,31,365,0,2330,10.539174,0.691728,1.325185,195
'Entire home/apt',235,3.05,1,318,47,42,13.01342,0.432324,8.029816,117
'Private room',200,2.65,1,0,0,1154,9.267819,0.414171,3.831892,47
'Private room',163,2.11,1,310,46,38,13.249359,0.19097,7.548343,123
'Entire home/apt',9,0.21,2,197,5,110,10.154633,0.185108,1.124097,182
'Private room',68,1.11,1,0,12,53,9.288219,0.750242,8.547439,34
'Entire home/apt',44,0.58,1,353,6,108,9.413853,0.470357,4.51189,107
'Entire home/apt',56,1.03,1,58,24,38,12.239779,0.117187,6.655381,371
'Entire home/apt',32,0.54,1,0,0,1477,8.59777,0.439072,8.430278,75
'Entire home/apt',14,0.18,1,358,0,674,10.042882,0.222418,7.185091,389
'Entire home/apt',11,0.14,2,13,0,1472,11.459235,0.445905,7.431775,140
'Entire home/apt',91,1.22,1,204,18,79,4.901039,0.632311,11.726655,248
'Entire home/apt',201,2.69,2,309,27,43,8.230093,0.855141,5.721897,85
'Entire home/apt',68,0.88,1,154,17,37,11.890548,0.132882,5.125528,164
'Entire home/apt',5,0.07,1,0,0,1510,13.059666,0.384728,8.008723,48
'Entire home/apt',0,NA,11,340,0,-1,10.562374,0.379231,1.488647,220
'Entire home/apt',120,1.56,1,10,41,45,11.537361,0.351821,4.334912,243
'Entire home/apt',0,NA,68,365,0,-1,9.364193,0.183494,0.862993,170
'Private room',10,0.16,4,256,3,59,10.617308,0.328972,9.337789,35
'Entire home/apt',4,0.05,9,365,1,135,8.559964,0.175453,8.659294,115
'Private room',12,0.16,1,0,0,1164,11.033046,0.553781,3.943433,102
'Entire home/apt',9,0.12,1,17,1,75,13.390525,0.073302,6.817147,247
'Entire home/apt',209,2.74,1,73,0,414,10.604719,0.152784,2.434178,144
'Private room',225,2.94,6,151,16,54,7.85589,0.239024,1.963617,69
'Entire home/apt',1,0.02,1,0,0,1801,11.728974,0.941061,7.7556,122
'Entire home/apt',31,0.4,1,0,0,435,9.142679,0.147826,1.963648,190
'Entire home/apt',467,6.06,6,322,74,42,10.346777,0.134092,1.642742,93
'Private room',166,2.16,4,140,45,49,9.035266,0.281936,2.039743,90
'Private room',123,1.62,2,136,20,36,13.309409,0.13695,8.799702,89
'Private room',277,3.64,5,16,8,211,12.8575,0.538486,8.657388,74
'Entire home/apt',7,0.09,68,365,0,1060,9.64637,0.026157,0.84972,160
'Entire home/apt',2,0.03,68,364,0,2239,9.940781,0.21542,1.077277,157
'Entire home/apt',388,5.06,1,51,73,47,9.38977,0.184147,2.033018,79
'Entire home/apt',1,0.09,7,348,1,375,10.562374,0.379231,1.488647,120
'Private room',36,0.47,1,363,0,746,5.88985,0.387976,3.380478,27
'Entire home/apt',72,0.95,4,226,5,151,10.136067,0.530578,6.224142,64
'Private room',46,0.77,1,0,0,1073,11.809023,0.242741,6.690866,28
'Entire home/apt',63,0.83,1,254,16,46,11.167351,0.729481,3.020129,229
'Entire home/apt',229,2.99,1,327,21,74,8.277991,0.447841,3.522928,110
'Entire home/apt',95,1.24,2,167,16,45,8.341262,0.867314,4.019126,182
'Entire home/apt',1,0.02,31,365,0,1581,9.618192,0.032375,0.777455,160
'Entire home/apt',61,0.81,1,342,35,36,12.122628,0.245731,4.81654,238
'Private room',25,0.33,10,267,5,42,9.31864,0.431362,8.211204,106
'Entire home/apt',39,0.51,1,71,4,67,9.15315,0.159654,0.992112,299
'Entire home/apt',97,1.27,4,324,25,56,10.013412,0.290197,5.061723,454
'Private room',4,0.05,1,0,0,2222,10.846164,0.676538,3.895497,50
'Entire home/apt',285,3.8,1,311,37,55,8.384337,0.343553,2.223962,127
'Entire home/apt',103,1.35,1,146,22,51,8.045297,0.245215,6.615601,127
'Entire home/apt',177,2.35,3,0,0,567,8.752655,0.562339,2.334325,289
'Entire home/apt',2,0.03,1,0,0,2324,10.252081,0.236492,1.781086,135
'Entire home/apt',146,2.01,1,345,24,55,11.098663,0.748178,4.977014,389
'Entire home/apt',313,4.18,1,116,44,55,11.771456,0.197772,5.393173,133
'Entire home/apt',223,2.93,2,144,46,39,9.910678,0.028021,1.268359,348
'Entire home/apt',175,2.3,1,44,26,53,9.619511,0.55943,5.398269,160
'Entire home/apt',444,5.84,1,96,80,40,11.582164,0.340848,4.619159,113
