@relation 'chicago_listings - cleaned-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute neighbourhood_group {NA}
@attribute latitude numeric
@attribute longitude numeric
@attribute room_type {'Private room','Entire home/apt','Shared room','Hotel room'}
@attribute number_of_reviews numeric
@attribute reviews_per_month string
@attribute calculated_host_listings_count numeric
@attribute availability_365 numeric
@attribute number_of_reviews_ltm numeric
@attribute days_since_last_review numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
NA,41.915333,-87.670479,'Entire home/apt',111,1.15,5,149,24,44,9.982315,0.16754,3.396057,245
NA,42.00729,-87.67708,'Entire home/apt',45,0.45,1,349,1,297,12.590118,0.145038,9.280379,150
NA,41.91634,-87.69335,'Entire home/apt',70,0.71,10,336,13,44,9.554038,0.316788,4.359096,1234
NA,41.75377,-87.56226,'Entire home/apt',10,0.12,4,256,0,1140,10.617308,0.328972,9.337789,85
NA,41.98908,-87.66697,'Entire home/apt',315,3.13,1,290,37,44,13.005636,0.437785,7.921991,89
NA,41.94278,-87.65621,'Entire home/apt',205,2.06,2,330,34,45,12.025459,0.244136,4.690094,384
NA,41.88711,-87.6438,'Entire home/apt',92,1.26,2,324,34,37,9.156167,0.152507,0.985295,349
NA,41.88367,-87.70864,'Entire home/apt',106,1.06,1,344,15,44,7.150361,0.102604,4.321787,113
NA,41.93594,-87.66953,'Entire home/apt',184,2.05,1,358,24,60,11.29215,0.541029,4.542405,193
NA,41.94159,-87.65099,'Private room',168,1.69,1,302,18,52,12.07961,0.168764,4.531014,75
NA,41.94418,-87.79895,'Private room',6,0.06,2,71,2,182,6.248369,1.526539,10.299774,35
NA,42.00146,-87.66982,'Private room',38,0.43,2,152,4,44,12.926505,0.466014,8.787835,110
NA,41.90788,-87.68075,'Private room',180,1.81,2,0,1,372,9.275251,0.218323,3.45848,112
NA,41.94421,-87.64861,'Entire home/apt',6,0.09,2,0,0,1494,12.299889,0.343978,4.675776,375
NA,41.79963,-87.59186,'Private room',358,3.64,1,60,29,38,8.815963,0.271015,5.797177,85
NA,41.93047,-87.7196,'Entire home/apt',151,1.52,4,271,6,77,10.12812,0.483722,6.090796,65
NA,41.99103,-87.66166,'Private room',42,0.42,3,256,4,40,13.30312,0.154555,7.983982,43
NA,41.95965,-87.72016,'Entire home/apt',44,0.45,1,318,9,66,10.165785,0.665276,7.48355,76
NA,41.99595,-87.67545,'Entire home/apt',5,0.1,2,292,0,746,12.579604,0.347436,8.505071,80
NA,41.94882,-87.7183,'Entire home/apt',15,3.88,1,337,15,58,10.388154,0.153013,6.867348,122
NA,41.88853,-87.63399,'Entire home/apt',14,0.14,68,365,0,1134,9.583907,0.015009,0.755157,170
NA,42.0222,-87.67226,'Private room',62,0.69,2,269,3,63,13.048228,0.197981,10.209596,67
NA,41.81866,-87.61644,'Private room',12,0.19,1,317,0,407,7.758111,0.19295,4.165724,85
NA,42.0168,-87.68771,'Shared room',137,1.39,17,175,7,80,12.142642,0.800165,10.079095,28
NA,41.83615,-87.64638,'Entire home/apt',66,0.87,1,5,16,52,6.744283,0.738884,3.032809,89
NA,41.9733,-87.6516,'Private room',18,0.18,1,272,0,1144,13.829556,0.3806,6.67577,65
NA,41.898048,-87.702972,'Entire home/apt',338,3.47,1,143,34,37,8.188925,0.702707,4.225643,133
NA,41.877,-87.63055,'Private room',4,0.27,1,292,2,144,9.148302,0.035205,0.086242,57
NA,41.78392,-87.72921,'Private room',440,4.46,2,335,22,50,1.274437,0.549615,8.467014,37
NA,41.94842,-87.64798,'Private room',38,0.43,1,273,1,68,12.573981,0.32272,4.952574,88
NA,42.00544,-87.68377,'Private room',2,0.05,2,0,0,1084,12.20951,0.50989,9.267431,55
